[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [1 20 1 20.0 1]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [10 21 9 20.0 2]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [0 22 4 20.0 3]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [17 23 13 20.0 5]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [11 24 15 20.0 8]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [18 25 23 20.0 12]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [19 26 25 20.0 14]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [8 27 18 20.0 17]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [6 28 16 20.0 30]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [7 29 29 20.0 31]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [21 30 28 20.0 39]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [20 31 17 20.0 40]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [0 32 6 20.0 41]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [2 33 27 20.0 42]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [3 34 30 20.0 43]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [12 35 32 20.0 44]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [11 36 8 20.0 51]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [19 37 24 20.0 52]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [14 38 21 20.0 54]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [22 39 10 20.0 56]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [26 40 12 20.0 68]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [5 41 2 20.0 75]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [0 42 5 20.0 78]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [7 43 36 20.0 79]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [34 44 20 20.0 80]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [33 45 35 20.0 83]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [3 46 22 20.0 84]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [31 47 31 20.0 85]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [38 48 34 20.0 91]
